"Ward","category","n","disciplined","sustained","open","unknown","sd_plus"
21,"Arrest/Lock-up Procedures",273,4,4,0,10,0.0304182509505703
21,"Bribery / Official Corruption",1,0,0,0,0,0
21,"Conduct Unbecoming (Off-duty)",23,3,1,1,3,0.210526315789474
21,"Criminal Misconduct",6,0,0,0,1,0
21,"Drug/Substance Abuse",3,0,0,0,0,0
21,"First Amendment and Illegal Arrest",541,3,1,1,61,0.00835073068893528
21,"Operation/Personnel Violations",503,28,13,3,28,0.086864406779661
21,"Search-Related",100,2,1,0,9,0.032967032967033
21,"Supervisory Responsibilities",9,0,0,0,0,0
21,"Traffic",31,0,0,1,1,0
21,"Verbal Abuse",45,0,0,0,1,0
22,"Arrest/Lock-up Procedures",34,0,0,0,1,0
22,"Conduct Unbecoming (Off-duty)",1,0,0,0,0,0
22,"First Amendment and Illegal Arrest",72,0,0,0,10,0
22,"Operation/Personnel Violations",62,5,2,4,2,0.125
22,"Search-Related",35,1,0,0,0,0.0285714285714286
22,"Traffic",7,0,0,0,0,0
22,"Verbal Abuse",3,0,0,0,0,0
23,"Alcohol Abuse",2,1,1,0,0,1
23,"Arrest/Lock-up Procedures",99,1,1,0,3,0.0208333333333333
23,"Bribery / Official Corruption",7,0,0,0,0,0
23,"Conduct Unbecoming (Off-duty)",13,0,0,0,4,0
23,"Criminal Misconduct",2,1,1,0,0,1
23,"Drug/Substance Abuse",1,0,0,0,0,0
23,"First Amendment and Illegal Arrest",96,1,0,0,11,0.0117647058823529
23,"Operation/Personnel Violations",99,3,1,0,5,0.0425531914893617
23,"Search-Related",17,0,0,0,3,0
23,"Supervisory Responsibilities",5,0,0,0,0,0
23,"Traffic",11,0,0,0,4,0
23,"Verbal Abuse",13,0,0,0,4,0
24,"Arrest/Lock-up Procedures",200,2,2,0,18,0.021978021978022
24,"Bribery / Official Corruption",6,0,1,0,0,0.166666666666667
24,"Conduct Unbecoming (Off-duty)",22,11,3,0,0,0.636363636363636
24,"Criminal Misconduct",2,0,1,0,0,0.5
24,"First Amendment and Illegal Arrest",457,0,0,2,14,0
24,"Operation/Personnel Violations",350,28,14,5,18,0.128440366972477
24,"Search-Related",124,6,3,2,7,0.0782608695652174
24,"Supervisory Responsibilities",6,0,0,0,0,0
24,"Traffic",6,0,0,0,2,0
24,"Verbal Abuse",20,0,0,0,1,0
25,"Alcohol Abuse",3,1,1,0,1,1
25,"Arrest/Lock-up Procedures",119,5,2,0,3,0.0603448275862069
25,"Bribery / Official Corruption",2,0,0,0,0,0
25,"Conduct Unbecoming (Off-duty)",30,10,5,3,3,0.625
25,"Criminal Misconduct",2,0,0,0,0,0
